total_events,active_days,unique_materials,after_hours_events,weekend_events,events_per_week,weekend_ratio,after_hours_ratio,lecture_material_views,assignment_views,course_page_views,forum_views,no_activity_flag
220,35,24,90,28,44.0,0.1272727272727272,0.4090909090909091,69,45,85,15,0
121,15,11,53,24,56.46666666666667,0.1983471074380165,0.4380165289256198,21,43,57,0,0
421,72,28,140,80,40.93055555555555,0.1900237529691211,0.332541567695962,141,143,101,36,0
252,39,35,169,48,45.23076923076923,0.1904761904761904,0.6706349206349206,26,106,99,16,0
503,74,31,73,85,47.58108108108108,0.1689860834990059,0.1451292246520874,85,69,342,2,0
678,69,46,174,108,68.78260869565217,0.1592920353982301,0.2566371681415929,158,180,300,2,0
711,68,25,147,179,73.19117647058825,0.2517580872011252,0.2067510548523206,50,94,552,6,0
211,40,22,90,30,36.925,0.1421800947867298,0.4265402843601896,36,74,95,5,0
333,56,21,151,116,41.625,0.3483483483483483,0.4534534534534534,52,86,193,2,0
535,71,33,216,111,52.74647887323944,0.2074766355140186,0.4037383177570093,185,76,247,20,0
213,44,24,39,47,33.88636363636364,0.2206572769953051,0.1830985915492957,77,59,74,3,0
359,51,22,145,87,49.27450980392157,0.2423398328690807,0.403899721448468,35,159,161,2,0
151,33,22,57,12,32.03030303030303,0.0794701986754966,0.3774834437086092,26,46,78,0,0
171,22,24,12,4,54.409090909090914,0.023391812865497,0.0701754385964912,44,66,59,0,0
157,22,22,85,4,49.95454545454545,0.0254777070063694,0.5414012738853503,15,92,46,0,0
14,5,6,12,3,19.6,0.2142857142857142,0.8571428571428571,3,2,8,1,0
112,10,16,82,2,78.39999999999999,0.0178571428571428,0.7321428571428571,48,26,35,3,0
488,51,41,75,94,66.98039215686275,0.1926229508196721,0.1536885245901639,129,146,180,28,0
846,84,39,256,166,70.5,0.1962174940898345,0.3026004728132387,151,242,403,20,0
8,3,4,6,0,18.666666666666668,0.0,0.75,2,2,4,0,0
317,43,31,69,101,51.604651162790695,0.3186119873817035,0.2176656151419558,56,72,166,17,0
270,57,27,125,41,33.15789473684211,0.1518518518518518,0.4629629629629629,52,94,106,12,0
12,7,2,7,7,12.0,0.5833333333333334,0.5833333333333334,0,7,5,0,0
96,15,20,45,10,44.8,0.1041666666666666,0.46875,28,15,50,0,0
501,58,28,365,130,60.4655172413793,0.2594810379241516,0.7285429141716567,90,166,230,13,0
502,67,30,198,77,52.44776119402985,0.1533864541832669,0.3944223107569721,61,120,293,1,0
