id,eventname,component,action,target,objecttable,objectid,crud,edulevel,contextid,contextlevel,contextinstanceid,userid,courseid,relateduserid,anonymous,other,timecreated,origin,ip,realuserid
1,\core\event\user_loggedin,core,loggedin,user,user,2.0,r,0,1,10,0,2,0,,0,"a:2:{s:8:""username"";s:5:""admin"";s:13:""extrauserinfo"";a:0:{}}",1781601876,web,134.115.29.10,
2,\core\event\user_password_updated,core,updated,user_password,,,u,0,5,30,2,2,0,2.0,0,"a:1:{s:14:""forgottenreset"";b:0;}",1781602139,web,134.115.29.10,
3,\core\event\user_updated,core,updated,user,user,2.0,u,0,5,30,2,2,0,2.0,0,N;,1781602140,web,134.115.29.10,
4,\core\event\config_log_created,core,created,config_log,config_log,654.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:24:""enableaccessibilitytools"";s:8:""oldvalue"";N;s:5:""value"";s:1:""1"";s:6:""plugin"";N;}",1781602140,web,134.115.29.10,
5,\core\event\config_log_created,core,created,config_log,config_log,655.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:15:""enablemoodlenet"";s:8:""oldvalue"";N;s:5:""value"";s:1:""1"";s:6:""plugin"";s:14:""tool_moodlenet"";}",1781602140,web,134.115.29.10,
6,\core\event\config_log_created,core,created,config_log,config_log,656.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:17:""notloggedinroleid"";s:8:""oldvalue"";N;s:5:""value"";s:1:""6"";s:6:""plugin"";N;}",1781602140,web,134.115.29.10,
7,\core\event\config_log_created,core,created,config_log,config_log,657.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:11:""guestroleid"";s:8:""oldvalue"";N;s:5:""value"";s:1:""6"";s:6:""plugin"";N;}",1781602140,web,134.115.29.10,
8,\core\event\config_log_created,core,created,config_log,config_log,658.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:17:""defaultuserroleid"";s:8:""oldvalue"";N;s:5:""value"";s:1:""7"";s:6:""plugin"";N;}",1781602140,web,134.115.29.10,
9,\core\event\config_log_created,core,created,config_log,config_log,659.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:16:""creatornewroleid"";s:8:""oldvalue"";N;s:5:""value"";s:1:""3"";s:6:""plugin"";N;}",1781602141,web,134.115.29.10,
10,\core\event\config_log_created,core,created,config_log,config_log,660.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:17:""restorernewroleid"";s:8:""oldvalue"";N;s:5:""value"";s:1:""3"";s:6:""plugin"";N;}",1781602141,web,134.115.29.10,
11,\core\event\config_log_created,core,created,config_log,config_log,661.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:28:""contactdataprotectionofficer"";s:8:""oldvalue"";N;s:5:""value"";s:1:""0"";s:6:""plugin"";s:16:""tool_dataprivacy"";}",1781602141,web,134.115.29.10,
12,\core\event\config_log_created,core,created,config_log,config_log,662.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:27:""automaticdataexportapproval"";s:8:""oldvalue"";N;s:5:""value"";s:1:""0"";s:6:""plugin"";s:16:""tool_dataprivacy"";}",1781602141,web,134.115.29.10,
13,\core\event\config_log_created,core,created,config_log,config_log,663.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:29:""automaticdatadeletionapproval"";s:8:""oldvalue"";N;s:5:""value"";s:1:""0"";s:6:""plugin"";s:16:""tool_dataprivacy"";}",1781602141,web,134.115.29.10,
14,\core\event\config_log_created,core,created,config_log,config_log,664.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:25:""automaticdeletionrequests"";s:8:""oldvalue"";N;s:5:""value"";s:1:""1"";s:6:""plugin"";s:16:""tool_dataprivacy"";}",1781602141,web,134.115.29.10,
15,\core\event\config_log_created,core,created,config_log,config_log,665.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:20:""privacyrequestexpiry"";s:8:""oldvalue"";N;s:5:""value"";s:6:""604800"";s:6:""plugin"";s:16:""tool_dataprivacy"";}",1781602141,web,134.115.29.10,
16,\core\event\config_log_created,core,created,config_log,config_log,666.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:33:""requireallenddatesforuserdeletion"";s:8:""oldvalue"";N;s:5:""value"";s:1:""1"";s:6:""plugin"";s:16:""tool_dataprivacy"";}",1781602141,web,134.115.29.10,
17,\core\event\config_log_created,core,created,config_log,config_log,667.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:24:""showdataretentionsummary"";s:8:""oldvalue"";N;s:5:""value"";s:1:""1"";s:6:""plugin"";s:16:""tool_dataprivacy"";}",1781602141,web,134.115.29.10,
18,\core\event\config_log_created,core,created,config_log,config_log,668.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:9:""exportlog"";s:8:""oldvalue"";N;s:5:""value"";s:1:""1"";s:6:""plugin"";s:8:""tool_log"";}",1781602141,web,134.115.29.10,
19,\core\event\config_log_created,core,created,config_log,config_log,669.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:17:""sitepolicyhandler"";s:8:""oldvalue"";N;s:5:""value"";s:0:"""";s:6:""plugin"";N;}",1781602141,web,134.115.29.10,
20,\core\event\config_log_created,core,created,config_log,config_log,670.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:14:""gradebookroles"";s:8:""oldvalue"";N;s:5:""value"";s:1:""5"";s:6:""plugin"";N;}",1781602141,web,134.115.29.10,
21,\core\event\config_log_created,core,created,config_log,config_log,671.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:8:""logstore"";s:8:""oldvalue"";N;s:5:""value"";s:17:""logstore_standard"";s:6:""plugin"";s:9:""analytics"";}",1781602141,web,134.115.29.10,
22,\core\event\config_log_created,core,created,config_log,config_log,672.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:17:""h5plibraryhandler"";s:8:""oldvalue"";N;s:5:""value"";s:11:""h5plib_v124"";s:6:""plugin"";N;}",1781602141,web,134.115.29.10,
23,\core\event\config_log_created,core,created,config_log,config_log,673.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:14:""airnotifierurl"";s:8:""oldvalue"";N;s:5:""value"";s:27:""https://messages.moodle.net"";s:6:""plugin"";N;}",1781602141,web,134.115.29.10,
24,\core\event\config_log_created,core,created,config_log,config_log,674.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:15:""airnotifierport"";s:8:""oldvalue"";N;s:5:""value"";s:3:""443"";s:6:""plugin"";N;}",1781602141,web,134.115.29.10,
25,\core\event\config_log_created,core,created,config_log,config_log,675.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:24:""airnotifiermobileappname"";s:8:""oldvalue"";N;s:5:""value"";s:23:""com.moodle.moodlemobile"";s:6:""plugin"";N;}",1781602141,web,134.115.29.10,
26,\core\event\config_log_created,core,created,config_log,config_log,676.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:18:""airnotifierappname"";s:8:""oldvalue"";N;s:5:""value"";s:21:""commoodlemoodlemobile"";s:6:""plugin"";N;}",1781602141,web,134.115.29.10,
27,\core\event\config_log_created,core,created,config_log,config_log,677.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:20:""airnotifieraccesskey"";s:8:""oldvalue"";N;s:5:""value"";s:0:"""";s:6:""plugin"";N;}",1781602141,web,134.115.29.10,
28,\core\event\config_log_created,core,created,config_log,config_log,678.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:20:""encryptnotifications"";s:8:""oldvalue"";N;s:5:""value"";s:1:""0"";s:6:""plugin"";s:19:""message_airnotifier"";}",1781602141,web,134.115.29.10,
29,\core\event\config_log_created,core,created,config_log,config_log,679.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:17:""encryptprocessing"";s:8:""oldvalue"";N;s:5:""value"";s:1:""0"";s:6:""plugin"";s:19:""message_airnotifier"";}",1781602141,web,134.115.29.10,
30,\core\event\config_log_created,core,created,config_log,config_log,680.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:29:""feedback_plugin_for_gradebook"";s:8:""oldvalue"";N;s:5:""value"";s:23:""assignfeedback_comments"";s:6:""plugin"";s:6:""assign"";}",1781602141,web,134.115.29.10,
31,\core\event\config_log_created,core,created,config_log,config_log,681.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:21:""showrecentsubmissions"";s:8:""oldvalue"";N;s:5:""value"";s:1:""0"";s:6:""plugin"";s:6:""assign"";}",1781602141,web,134.115.29.10,
32,\core\event\config_log_created,core,created,config_log,config_log,682.0,c,0,1,10,0,2,0,,0,"a:4:{s:4:""name"";s:18:""submissionreceipts"";s:8:""oldvalue"";N;s:5:""value"";s:1:""1"";s:6:""plugin"";s:6:""assign"";}",1781602141,web,134.115.29.10,
