course_key,event_context,course_name
1,"Unit: ICT001 Theory of Programming (S1, 2025)","ICT001 Theory of Programming (S1, 2025)"
2,File: Lab description (PDF),
3,File: Solutions (Hidden from Students),
4,File: Solutions,
5,File: Lab Solutions,
6,File: Lecture Slides (PPT for students),
7,File: Lecture Notes (PDF) ,
8,Assignment: Assignment 2,
9,Assignment: Assignment 1,
10,Assignment: Assessed Exercise Week 11 (for students enrolled Face-to-Face),
11,File: Assessed Exercise Week 4,
12,File: Assessed Exercise Week 3,
13,File: Assessed Exercise - Week 10,
14,File: Assessed Exercise - Week 11,
15,Assignment: Assessed Exercise Week 3 (for students enrolled Face-to-Face),
16,Forum: Announcements (all students),
17,File: Assessed Exercise - Week 12,
18,File: Assessed Exercise - Week 8,
19,File: Assessed Exercise Week 7,
20,File: Assessed Exercise Week 6,
21,File: Unit Information and Administrative Matters (PDF),
22,Assignment: Assessed Exercise Week 4 (for students enrolled Face-to-Face),
23,File: Lecture Slides (PPT),
24,File: Lecture Notes (PDF),
25,File:  ICT001 Admin Matters - Offline Video Recording,
26,File: Drop-in Session (Tue 2024/06/04),
27,Assignment: Submit the Assessed Exercise of Week 12 (Students enrolled in Online Flexible Model),
28,File: Recorded Lecture (offline),
29,File: Video Solution - Part 3,
30,File: Lecture recording (offline),
31,File: Lecture recording (offline recoding),
32,File: ICT001 - Lecture 2 video recording (Offline Recording),
33,File: Video Solution - Part 1,
34,File: Video Solution - Part 2,
35,Assignment: Assessed Exercise Week 7 (for students enrolled Face-to-Face),
36,Assignment: Assessed Exercise Week 14 (for students enrolled Face-to-Face),
37,File: PASS Information,
38,File: Lecture Recording (offline),
39,Assignment: Assessed Exercise Week 8 (for students enrolled Face-to-Face),
40,Assignment: Assessed Exercise Week 6 (for students enrolled Face-to-Face),
41,File: Unit Information and Administrative Matters (PPT presentation),
42,File: ICT001 Admin Matters - Offline Video Recording,
43,Assignment: Submit the Assessed Exercise of Week 14 (Students enrolled in Online Flexible Model),
44,Assignment: Submit the Assessed Exercise of Week 10 (Students enrolled in Online Flexible Model),
45,File: Lecture recording Topic 5 (Offline recording),
46,File: Recorded Session (2022/06/14),
47,File: Recorded Session (2022/06/07),
48,"File: Recorded Session June 12, 2023",
49,"File: Recorded Drop-in Session (Files, Struct, Pointers)",
50,Assignment: Supplementary Assignment,
51,Assignment: Assessed Exercise Week 13 (for students enrolled Face-to-Face),
52,Echo link: ICT001 - Topic 1 (Offline recording),
53,"Echo link: Example 1.3 (Dog, Rabbit, Carrot)",
54,Echo link: Example 1.2 (Hanoi Tower),
55,Echo link: Example 1.1 (Water buckets),
56,Assignment: Assessed Exercise Week 10 (for students enrolled Face-to-Face),
57,Assignment: Assessed Exercise Week 12 (for students enrolled Face-to-Face),
58,Assignment: Submit the Assessed Exercise of Week 4,
59,Assignment: Submit Assessed Exercise of Week 3 (for students enrolled Online Flexible mode),
60,Assignment: Submit the Assessed Exercise of Week 13 (Students enrolled in Online Flexible Model),
61,Teams online session: Online Live Lectures,
62,File: Solutions (Hidden from Students)  (Not Yet) ,
63,Assignment: Submit the Assessed Exercise of Week 11 (Students enrolled in Online Flexible Model),
64,Assignment: Submit the Assessed Exercise of Week 8 (Students enrolled in Online Flexible Model),
65,Assignment: Submit the Assessed Exercise of Week 7 (Students enrolled in Online Flexible Model),
66,Assignment: Submit the Assessed Exercise of Week 6,
67,File: ICT001 - Assignment 2 - Solution and Marking Guide,
68,File: Lab - Guide for Tutors (Hidden from Students),
69,File: Solution and Marking Guide (do not share with students),
