event_key,event_name
1,Unit viewed
2,Unit module viewed
3,Grade user report viewed
4,Feedback viewed
5,Unit user report viewed
6,Discussion viewed
7,Grade overview report viewed
8,User report viewed
9,A file has been uploaded.
10,A submission has been submitted.
11,Submission created.
12,Comment created
13,Submission updated.
14,Submission removed.
15,Unit module completion updated
16,Comment deleted
17,\core\event\user_created
18,\core\event\user_profile_viewed
19,\core\event\user_loggedin
20,\core\event\dashboard_viewed
21,\tool_usertours\event\tour_started
22,\tool_usertours\event\tour_ended
23,\core\event\course_category_viewed
24,\core\event\mycourses_viewed
25,\core\event\user_loggedout
26,\core\event\user_enrolment_created
27,\core\event\email_failed
28,\core\event\role_assigned
