run_id,run_timestamp_utc,finished_at,duration_sec,data_source,stages_requested,stages_executed,stages_failed,status,strict_exit,conda_env,reuse_staging,refresh_staging_effective
pipe_20260709T145104032403Z_f915e332,2026-07-09T14:51:04.032542+00:00,2026-07-09T14:51:04.073610+00:00,0.041,moodle,etl,1,1,failed,True,,False,True
pipe_20260709T145353628707Z_8cdd6886,2026-07-09T14:53:53.628841+00:00,2026-07-09T14:54:10.295655+00:00,16.667,moodle,etl;feature_engineering;online_prediction,3,1,failed,True,,False,True
pipe_20260709T145457987689Z_15de31b4,2026-07-09T14:54:57.987830+00:00,2026-07-09T14:55:11.441233+00:00,13.453,moodle,etl;feature_engineering;online_prediction,3,0,completed,True,,False,True
pipe_20260709T145538986954Z_f428ccaa,2026-07-09T14:55:38.987079+00:00,2026-07-09T14:55:55.379882+00:00,16.393,moodle,etl;feature_engineering;online_prediction,3,0,completed,True,,False,True
pipe_20260709T145708125691Z_1775083d,2026-07-09T14:57:08.125824+00:00,2026-07-09T14:57:27.717478+00:00,19.592,moodle,etl;feature_engineering;online_prediction,3,0,completed,True,,False,True
pipe_20260709T145817957185Z_1a4d23af,2026-07-09T14:58:17.957353+00:00,2026-07-09T14:58:26.890481+00:00,8.933,moodle,etl,1,0,completed,True,,False,True
pipe_20260709T150223647046Z_cb8b7a25,2026-07-09T15:02:23.647157+00:00,2026-07-09T15:02:38.405174+00:00,14.758,moodle,etl;feature_engineering;online_prediction,3,0,completed,True,,False,True
pipe_20260709T151159089282Z_73ac9ba6,2026-07-09T15:11:59.089414+00:00,2026-07-09T15:12:13.297228+00:00,14.208,moodle,etl;feature_engineering;online_prediction,3,0,completed,True,,False,True
pipe_20260709T173002087147Z_48ed21a0,2026-07-09T17:30:02.087256+00:00,2026-07-09T17:30:15.273403+00:00,13.186,moodle,etl;feature_engineering;online_prediction,3,0,completed,True,,False,True
pipe_20260710T173001808755Z_4e5aadf3,2026-07-10T17:30:01.808859+00:00,2026-07-10T17:30:15.180674+00:00,13.372,moodle,etl;feature_engineering;online_prediction,3,0,completed,True,,False,True
pipe_20260711T173001779975Z_f9fbc12e,2026-07-11T17:30:01.780082+00:00,2026-07-11T17:30:15.562736+00:00,13.783,moodle,etl;feature_engineering;online_prediction,3,0,completed,True,,False,True
pipe_20260712T173003250168Z_bf01e923,2026-07-12T17:30:03.250517+00:00,2026-07-12T17:30:18.476992+00:00,15.226,moodle,etl;feature_engineering;online_prediction,3,0,completed,True,,False,True
pipe_20260713T141800181984Z_9dc51bad,2026-07-13T14:18:00.182117+00:00,2026-07-13T14:18:01.267725+00:00,1.086,moodle,etl;feature_engineering;online_prediction,3,3,failed,True,,False,True
pipe_20260713T141825033473Z_ef99c3fc,2026-07-13T14:18:25.033823+00:00,2026-07-13T14:18:39.773647+00:00,14.74,moodle,etl;feature_engineering;online_prediction,3,0,completed,True,,False,True
pipe_20260713T143418681608Z_edd68100,2026-07-13T14:34:18.681732+00:00,2026-07-13T14:34:31.843036+00:00,13.161,moodle,etl;feature_engineering;online_prediction,3,1,failed,True,,False,True
pipe_20260713T143541619303Z_afde86a9,2026-07-13T14:35:41.619420+00:00,2026-07-13T14:35:54.674273+00:00,13.055,moodle,etl;feature_engineering;online_prediction,3,0,completed,True,,False,True
pipe_20260713T144511111623Z_b281aa49,2026-07-13T14:45:11.111736+00:00,2026-07-13T14:45:24.538308+00:00,13.427,moodle,etl;feature_engineering;online_prediction,3,0,completed,True,,False,True
pipe_20260713T173003081033Z_43b07a5c,2026-07-13T17:30:03.081418+00:00,2026-07-13T17:30:19.354028+00:00,16.273,moodle,etl;feature_engineering;online_prediction,3,0,completed,True,,False,True
pipe_20260714T050437294824Z_b20085e9,2026-07-14T05:04:37.295169+00:00,2026-07-14T05:04:52.588118+00:00,15.293,moodle,etl;feature_engineering;online_prediction,3,0,completed,True,,False,True
pipe_20260714T173005396174Z_7eacc1f9,2026-07-14T17:30:05.396513+00:00,2026-07-14T17:30:31.752664+00:00,26.356,moodle,etl;feature_engineering;online_prediction,3,0,completed,True,,False,True
pipe_20260715T173001880019Z_a4959472,2026-07-15T17:30:01.880131+00:00,2026-07-15T17:30:16.186335+00:00,14.306,moodle,etl;feature_engineering;online_prediction,3,0,completed,True,,False,True
pipe_20260716T170244836382Z_bbcef3ba,2026-07-16T17:02:44.836501+00:00,2026-07-16T17:02:54.017489+00:00,9.181,moodle,etl,1,0,completed,True,,False,True
pipe_20260716T170520382098Z_e74efca6,2026-07-16T17:05:20.382219+00:00,2026-07-16T17:05:24.617851+00:00,4.236,moodle,feature_engineering,1,0,completed,True,,False,True
pipe_20260716T173004221519Z_06f8bf46,2026-07-16T17:30:04.221910+00:00,2026-07-16T17:30:19.376652+00:00,15.155,moodle,etl;feature_engineering;online_prediction,3,0,completed,True,,False,True
pipe_20260717T132229044404Z_4c0527f2,2026-07-17T13:22:29.044692+00:00,2026-07-17T13:22:29.767517+00:00,0.723,moodle,online_prediction,1,1,failed,True,,False,True
pipe_20260717T132304458861Z_1f0cdc6c,2026-07-17T13:23:04.459017+00:00,2026-07-17T13:23:07.492816+00:00,3.034,moodle,online_prediction,1,0,completed,True,,False,True
