"id","eventname","component","action","target","objecttable","objectid","crud","edulevel","contextid","contextlevel","contextinstanceid","userid","courseid","relateduserid","anonymous","other","timecreated","origin","ip","realuserid"
"2538","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","0","1",NULL,"0","N;","1776327326","web","0:0:0:0:0:0:0:1",NULL
"2539","\core\event\user_loggedin","core","loggedin","user","user","2","r","0","1","10","0","2","0",NULL,"0","a:2:{s:8:""username"";s:5:""admin"";s:13:""extrauserinfo"";a:0:{}}","1776327335","web","0:0:0:0:0:0:0:1",NULL
"2540","\core\event\user_login_failed","core","failed","user_login",NULL,NULL,"r","0","1","10","0","2","0",NULL,"0","a:2:{s:8:""username"";s:5:""admin"";s:6:""reason"";i:3;}","1776327335","web","0:0:0:0:0:0:0:1",NULL
"2541","\core\event\user_loggedin","core","loggedin","user","user","2","r","0","1","10","0","2","0",NULL,"0","a:2:{s:8:""username"";s:5:""admin"";s:13:""extrauserinfo"";a:0:{}}","1776327350","web","0:0:0:0:0:0:0:1",NULL
"2542","\core\event\user_login_failed","core","failed","user_login",NULL,NULL,"r","0","1","10","0","2","0",NULL,"0","a:2:{s:8:""username"";s:5:""admin"";s:6:""reason"";i:3;}","1776327350","web","0:0:0:0:0:0:0:1",NULL
"2543","\core\event\user_loggedin","core","loggedin","user","user","2","r","0","1","10","0","2","0",NULL,"0","a:2:{s:8:""username"";s:5:""admin"";s:13:""extrauserinfo"";a:0:{}}","1776327373","web","0:0:0:0:0:0:0:1",NULL
"2544","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776327554","web","0:0:0:0:0:0:0:1",NULL
"2545","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776327562","web","0:0:0:0:0:0:0:1",NULL
"2546","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","0","1",NULL,"0","N;","1776329127","web","0:0:0:0:0:0:0:1",NULL
"2547","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","0","1",NULL,"0","N;","1776329133","web","0:0:0:0:0:0:0:1",NULL
"2548","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","0","1",NULL,"0","N;","1776329496","web","0:0:0:0:0:0:0:1",NULL
"2549","\core\event\user_loggedin","core","loggedin","user","user","2","r","0","1","10","0","2","0",NULL,"0","a:2:{s:8:""username"";s:5:""admin"";s:13:""extrauserinfo"";a:0:{}}","1776329504","web","0:0:0:0:0:0:0:1",NULL
"2550","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776329504","web","0:0:0:0:0:0:0:1",NULL
"2551","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776329563","web","0:0:0:0:0:0:0:1",NULL
"2552","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776329774","web","0:0:0:0:0:0:0:1",NULL
"2553","\core\event\database_text_field_content_replaced","core","replaced","database_text_field_content",NULL,NULL,"u","0","1","10","0","2","0",NULL,"0","a:2:{s:6:""search"";s:32:""http://localhost:8888/moodle501/"";s:7:""replace"";s:32:""http://localhost:8888/moodle502/"";}","1776329824","web","0:0:0:0:0:0:0:1",NULL
"2554","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776329870","web","0:0:0:0:0:0:0:1",NULL
"2555","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776331520","web","0:0:0:0:0:0:0:1",NULL
"2556","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776333224","web","0:0:0:0:0:0:0:1",NULL
"2557","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","0","1",NULL,"0","N;","1776333240","web","0:0:0:0:0:0:0:1",NULL
"2558","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","0","1",NULL,"0","N;","1776333257","web","0:0:0:0:0:0:0:1",NULL
"2559","\core\event\user_loggedin","core","loggedin","user","user","2","r","0","1","10","0","2","0",NULL,"0","a:2:{s:8:""username"";s:5:""admin"";s:13:""extrauserinfo"";a:0:{}}","1776333274","web","0:0:0:0:0:0:0:1",NULL
"2560","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776333274","web","0:0:0:0:0:0:0:1",NULL
"2561","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","16","50","2","2","2",NULL,"0","N;","1776334347","web","0:0:0:0:0:0:0:1",NULL
"2562","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776334354","web","0:0:0:0:0:0:0:1",NULL
"2563","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776334357","web","0:0:0:0:0:0:0:1",NULL
"2564","\core\event\user_loggedin","core","loggedin","user","user","2","r","0","1","10","0","2","0",NULL,"0","a:2:{s:8:""username"";s:5:""admin"";s:13:""extrauserinfo"";a:0:{}}","1776336039","web","0:0:0:0:0:0:0:1",NULL
"2565","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776336145","web","0:0:0:0:0:0:0:1",NULL
"2566","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776336157","web","0:0:0:0:0:0:0:1",NULL
"2567","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776336158","web","0:0:0:0:0:0:0:1",NULL
"2568","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776338305","web","0:0:0:0:0:0:0:1",NULL
"2569","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776338311","web","0:0:0:0:0:0:0:1",NULL
"2570","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776338351","web","0:0:0:0:0:0:0:1",NULL
"2571","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","0","1",NULL,"0","N;","1776400719","web","0:0:0:0:0:0:0:1",NULL
"2572","\core\event\user_loggedin","core","loggedin","user","user","2","r","0","1","10","0","2","0",NULL,"0","a:2:{s:8:""username"";s:5:""admin"";s:13:""extrauserinfo"";a:0:{}}","1776400728","web","0:0:0:0:0:0:0:1",NULL
"2573","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776400728","web","0:0:0:0:0:0:0:1",NULL
"2574","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776401358","web","0:0:0:0:0:0:0:1",NULL
"2575","\core\event\config_log_created","core","created","config_log","config_log","1175","c","0","1","10","0","2","0",NULL,"0","a:4:{s:4:""name"";s:15:""yuicomboloading"";s:8:""oldvalue"";s:1:""1"";s:5:""value"";s:1:""0"";s:6:""plugin"";N;}","1776401808","web","0:0:0:0:0:0:0:1",NULL
"2576","\core\event\config_log_created","core","created","config_log","config_log","1176","c","0","1","10","0","2","0",NULL,"0","a:4:{s:4:""name"";s:7:""cachejs"";s:8:""oldvalue"";s:1:""1"";s:5:""value"";s:1:""0"";s:6:""plugin"";N;}","1776401808","web","0:0:0:0:0:0:0:1",NULL
"2577","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776401850","web","0:0:0:0:0:0:0:1",NULL
"2578","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776401850","web","0:0:0:0:0:0:0:1",NULL
"2579","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776401854","web","0:0:0:0:0:0:0:1",NULL
"2580","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776401858","web","0:0:0:0:0:0:0:1",NULL
"2581","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776401861","web","0:0:0:0:0:0:0:1",NULL
"2582","\core\event\config_log_created","core","created","config_log","config_log","1177","c","0","1","10","0","2","0",NULL,"0","a:4:{s:4:""name"";s:15:""yuicomboloading"";s:8:""oldvalue"";s:1:""0"";s:5:""value"";s:1:""1"";s:6:""plugin"";N;}","1776401909","web","0:0:0:0:0:0:0:1",NULL
"2583","\core\event\config_log_created","core","created","config_log","config_log","1178","c","0","1","10","0","2","0",NULL,"0","a:4:{s:4:""name"";s:7:""cachejs"";s:8:""oldvalue"";s:1:""0"";s:5:""value"";s:1:""1"";s:6:""plugin"";N;}","1776401909","web","0:0:0:0:0:0:0:1",NULL
"2584","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776402880","web","0:0:0:0:0:0:0:1",NULL
"2585","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","16","50","2","2","2",NULL,"0","N;","1776402899","web","0:0:0:0:0:0:0:1",NULL
"2586","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","16","50","2","2","2",NULL,"0","N;","1776402970","web","0:0:0:0:0:0:0:1",NULL
"2587","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","0","1",NULL,"0","N;","1776411116","web","0:0:0:0:0:0:0:1",NULL
"2588","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","0","1",NULL,"0","N;","1776412143","web","0:0:0:0:0:0:0:1",NULL
"2589","\core\event\user_loggedin","core","loggedin","user","user","2","r","0","1","10","0","2","0",NULL,"0","a:2:{s:8:""username"";s:5:""admin"";s:13:""extrauserinfo"";a:0:{}}","1776412151","web","0:0:0:0:0:0:0:1",NULL
"2590","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776412151","web","0:0:0:0:0:0:0:1",NULL
"2591","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776416851","web","0:0:0:0:0:0:0:1",NULL
"2592","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776418954","web","0:0:0:0:0:0:0:1",NULL
"2593","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","0","1",NULL,"0","N;","1776500017","web","0:0:0:0:0:0:0:1",NULL
"2594","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","0","1",NULL,"0","N;","1776502815","web","0:0:0:0:0:0:0:1",NULL
"2595","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","0","1",NULL,"0","N;","1776505598","web","0:0:0:0:0:0:0:1",NULL
"2596","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","0","1",NULL,"0","N;","1776506787","web","0:0:0:0:0:0:0:1",NULL
"2597","\core\event\user_loggedin","core","loggedin","user","user","2","r","0","1","10","0","2","0",NULL,"0","a:2:{s:8:""username"";s:5:""admin"";s:13:""extrauserinfo"";a:0:{}}","1776506797","web","0:0:0:0:0:0:0:1",NULL
"2598","\report_security\event\report_viewed","report_security","viewed","report",NULL,NULL,"r","0","1","10","0","2","0",NULL,"0","N;","1776506798","web","0:0:0:0:0:0:0:1",NULL
"2599","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776506833","web","0:0:0:0:0:0:0:1",NULL
"2600","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776506950","web","0:0:0:0:0:0:0:1",NULL
"2601","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776506973","web","0:0:0:0:0:0:0:1",NULL
"2602","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776508815","web","0:0:0:0:0:0:0:1",NULL
"2603","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776509218","web","0:0:0:0:0:0:0:1",NULL
"2604","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776509266","web","0:0:0:0:0:0:0:1",NULL
"2605","\core\event\user_loggedout","core","loggedout","user","user","2","r","0","1","10","0","2","0",NULL,"0","a:1:{s:9:""sessionid"";s:26:""2f6nsrhsr1mt84iftu8ctm7j1f"";}","1776509272","web","0:0:0:0:0:0:0:1",NULL
"2606","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","0","1",NULL,"0","N;","1776509272","web","0:0:0:0:0:0:0:1",NULL
"2607","\core\event\user_loggedin","core","loggedin","user","user","2","r","0","1","10","0","2","0",NULL,"0","a:2:{s:8:""username"";s:5:""admin"";s:13:""extrauserinfo"";a:0:{}}","1776509278","web","0:0:0:0:0:0:0:1",NULL
"2608","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776509278","web","0:0:0:0:0:0:0:1",NULL
"2609","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776509547","web","0:0:0:0:0:0:0:1",NULL
"2610","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776511369","web","0:0:0:0:0:0:0:1",NULL
"2611","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776511381","web","0:0:0:0:0:0:0:1",NULL
"2612","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776511414","web","0:0:0:0:0:0:0:1",NULL
"2613","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776511483","web","0:0:0:0:0:0:0:1",NULL
"2614","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776511484","web","0:0:0:0:0:0:0:1",NULL
"2615","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776511744","web","0:0:0:0:0:0:0:1",NULL
"2616","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1776511787","web","0:0:0:0:0:0:0:1",NULL
"2645","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","0","1",NULL,"0","N;","1779360636","web","0:0:0:0:0:0:0:1",NULL
"2646","\core\event\user_loggedin","core","loggedin","user","user","2","r","0","1","10","0","2","0",NULL,"0","a:2:{s:8:""username"";s:5:""admin"";s:13:""extrauserinfo"";a:0:{}}","1779360749","web","0:0:0:0:0:0:0:1",NULL
"2647","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1779360749","web","0:0:0:0:0:0:0:1",NULL
"2648","\core\event\dashboard_viewed","core","viewed","dashboard",NULL,NULL,"r","0","5","30","2","2","0","2","0","N;","1779360782","web","0:0:0:0:0:0:0:1",NULL
"2649","\core\event\mycourses_viewed","core","viewed","mycourses",NULL,NULL,"r","0","1","10","0","2","0",NULL,"0","N;","1779360785","web","0:0:0:0:0:0:0:1",NULL
"2650","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1779360791","web","0:0:0:0:0:0:0:1",NULL
"2651","\core\event\dashboard_viewed","core","viewed","dashboard",NULL,NULL,"r","0","5","30","2","2","0","2","0","N;","1779360795","web","0:0:0:0:0:0:0:1",NULL
"2652","\core\event\mycourses_viewed","core","viewed","mycourses",NULL,NULL,"r","0","1","10","0","2","0",NULL,"0","N;","1779360797","web","0:0:0:0:0:0:0:1",NULL
"2653","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1779360801","web","0:0:0:0:0:0:0:1",NULL
"2654","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","0","1",NULL,"0","N;","1779420669","web","0:0:0:0:0:0:0:1",NULL
"2655","\core\event\user_loggedin","core","loggedin","user","user","2","r","0","1","10","0","2","0",NULL,"0","a:2:{s:8:""username"";s:5:""admin"";s:13:""extrauserinfo"";a:0:{}}","1779420905","web","0:0:0:0:0:0:0:1",NULL
"2656","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1779420905","web","0:0:0:0:0:0:0:1",NULL
"2657","\core\event\mycourses_viewed","core","viewed","mycourses",NULL,NULL,"r","0","1","10","0","2","0",NULL,"0","N;","1779420914","web","0:0:0:0:0:0:0:1",NULL
"2658","\core\event\dashboard_viewed","core","viewed","dashboard",NULL,NULL,"r","0","5","30","2","2","0","2","0","N;","1779420918","web","0:0:0:0:0:0:0:1",NULL
"2659","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1779420920","web","0:0:0:0:0:0:0:1",NULL
"2660","\core\event\dashboard_viewed","core","viewed","dashboard",NULL,NULL,"r","0","5","30","2","2","0","2","0","N;","1779420921","web","0:0:0:0:0:0:0:1",NULL
"2661","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1779420922","web","0:0:0:0:0:0:0:1",NULL
"2662","\core\event\user_list_viewed","core","viewed","user_list","course","1","r","0","2","50","1","2","1",NULL,"0","a:2:{s:15:""courseshortname"";s:10:""Moodle 5.2"";s:14:""coursefullname"";s:10:""Moodle 5.2"";}","1779422840","web","0:0:0:0:0:0:0:1",NULL
"2663","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1779422842","web","0:0:0:0:0:0:0:1",NULL
"2664","\core\event\mycourses_viewed","core","viewed","mycourses",NULL,NULL,"r","0","1","10","0","2","0",NULL,"0","N;","1779422880","web","0:0:0:0:0:0:0:1",NULL
"2665","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","2","1",NULL,"0","N;","1779422882","web","0:0:0:0:0:0:0:1",NULL
"2666","\core\event\course_viewed","core","viewed","course",NULL,NULL,"r","2","2","50","1","0","1",NULL,"0","N;","1779634596","web","0:0:0:0:0:0:0:1",NULL
