model_version,feature_name,mean,std,min,q1,median,q3,max
behaviour_v1,academic_period_key,1.0,0.0,1.0,1.0,1.0,1.0,1.0
behaviour_v1,total_events,311.91616766467064,235.3716213962905,0.0,157.5,261.0,416.0,1292.0
behaviour_v1,active_days,39.550898203592816,22.300699292789147,0.0,23.0,37.0,51.0,123.0
behaviour_v1,unique_materials,24.059880239520957,10.438979661399538,0.0,17.0,24.0,30.5,55.0
behaviour_v1,after_hours_events,122.46107784431138,113.53873859915248,0.0,51.0,92.0,164.5,851.0
behaviour_v1,weekend_events,59.125748502994014,57.50381649363769,0.0,22.0,43.0,79.0,405.0
behaviour_v1,avg_events_per_active_day,7.327017869148285,2.751951560368576,0.0,5.868055555555555,7.1891891891891895,8.544973544973544,18.366666666666667
behaviour_v1,events_per_week,51.289125084038005,19.263660922580033,0.0,41.076388888888886,50.32432432432432,59.81481481481481,128.56666666666666
behaviour_v1,weekend_ratio,0.1859462326616933,0.1150401881708493,0.0,0.1190778097982709,0.18733509234828497,0.2364433920325159,0.9795918367346939
behaviour_v1,after_hours_ratio,0.39189118622805147,0.1987389453538139,0.0,0.25170087768512966,0.3956043956043956,0.4923805125836989,0.9375
behaviour_v1,lecture_material_views,60.97604790419162,54.97205775377559,0.0,23.0,48.0,82.0,379.0
behaviour_v1,assignment_views,90.7005988023952,78.72933004463984,0.0,45.0,72.0,120.0,658.0
behaviour_v1,course_page_views,146.04191616766468,129.50295867176132,0.0,62.5,110.0,192.5,765.0
behaviour_v1,forum_views,6.323353293413174,8.206131604879399,0.0,0.0,3.0,9.0,38.0
behaviour_v1,quiz_views,0.0,0.0,0.0,0.0,0.0,0.0,0.0
behaviour_v1,no_activity_flag,0.011976047904191617,0.10910500922184507,0.0,0.0,0.0,0.0,1.0
academic_v1,avg_score_so_far,61.97657413278671,25.146497763078695,0.0,50.84166666666667,68.36,81.05666666666667,98.49333333333334
academic_v1,max_score_so_far,87.05898203592814,24.81914602073308,0.0,85.0,100.0,100.0,100.0
academic_v1,min_score_so_far,28.745628742514974,26.9836838818802,0.0,0.0,27.0,50.0,88.7
academic_v1,pass_assessment_count,18.94610778443114,10.026024861251493,0.0,10.0,22.0,28.0,30.0
academic_v1,latest_assessment_score,52.909640718562876,31.948168243062177,0.0,30.875,62.3,78.86500000000001,97.9
academic_v1,fail_assessment_count,5.341317365269461,5.173813181050073,0.0,0.0,4.0,8.0,22.0
academic_v1,early_exercise_avg,67.34411177644711,28.277551046112112,0.0,55.0,75.0,88.16666666666666,100.0
academic_v1,late_exercise_avg,59.48053892215569,33.84944685493678,0.0,39.375,72.0,88.0,100.0
academic_v1,assignment_avg_score,56.159935129740525,27.522406042849894,0.0,43.50416666666666,64.375,75.72,94.35
academic_v1,score_trend,-2.891017964071856,17.271838198079536,-80.0,-10.0,0.0,4.5,43.0
academic_v1,academic_period_key,1.0,0.0,1.0,1.0,1.0,1.0,1.0
