total_events,active_days,unique_materials,after_hours_events,weekend_events,avg_events_per_active_day,assessments_attempted,avg_assessment_score,max_assessment_score,final_mark,pass_assessment_count,fail_assessment_count,top_material_type_Course Page,top_material_type_Lecture Material,top_material_type_No Activity
187,38,22,80,27,4.921052631578948,18,93.66055555555556,100.0,76.0,18,0,True,False,False
402,48,30,141,60,8.375,18,64.95972222222223,90.0,56.0,15,3,True,False,False
134,17,14,58,40,7.882352941176471,9,14.355555555555554,50.0,3.0,1,8,True,False,False
280,49,34,118,59,5.714285714285714,18,89.37222222222222,100.0,83.0,18,0,False,True,False
1194,97,48,851,231,12.309278350515465,18,82.32333333333332,100.0,59.0,17,1,False,False,False
213,44,24,39,47,4.840909090909091,18,67.92055555555555,100.0,46.0,14,4,False,True,False
48,9,8,11,2,5.333333333333333,10,7.23,33.0,3.0,0,10,True,False,False
183,31,15,70,30,5.903225806451613,11,51.76181818181818,100.0,25.0,6,5,False,False,False
549,53,39,256,114,10.358490566037736,18,64.8338888888889,100.0,41.0,10,8,True,False,False
151,33,22,57,12,4.575757575757576,18,69.01455555555555,100.0,58.0,16,2,True,False,False
444,81,45,215,128,5.481481481481482,18,86.725,100.0,74.0,16,2,True,False,False
105,20,22,8,9,5.25,18,90.29444444444444,100.0,82.0,18,0,False,False,False
220,37,28,98,71,5.945945945945946,18,68.47611111111111,95.0,48.0,15,3,True,False,False
503,74,31,73,85,6.797297297297297,18,69.15166666666667,100.0,44.0,12,6,True,False,False
780,74,46,653,188,10.54054054054054,18,60.09944444444445,100.0,25.0,11,7,False,False,False
101,14,11,6,21,7.214285714285714,10,11.0,50.0,5.0,2,8,True,False,False
187,29,28,42,24,6.448275862068965,18,62.12916666666667,100.0,53.0,13,5,False,False,False
14,5,6,12,3,2.8,7,0.0,0.0,0.0,0,7,True,False,False
261,35,29,76,37,7.457142857142857,18,86.46499999999999,100.0,82.0,18,0,True,False,False
75,18,14,9,6,4.166666666666667,17,79.13764705882352,100.0,42.0,15,2,True,False,False
220,35,24,90,28,6.285714285714286,13,64.9573076923077,100.0,50.0,11,2,True,False,False
212,36,15,16,4,5.888888888888889,17,71.89735294117648,95.0,54.0,16,1,True,False,False
733,68,27,439,250,10.779411764705882,18,65.69722222222222,100.0,51.0,14,4,True,False,False
229,35,18,92,55,6.542857142857143,17,68.33235294117648,100.0,33.0,12,5,True,False,False
71,12,17,35,14,5.916666666666667,14,26.5,80.0,7.0,5,9,True,False,False
711,68,25,147,179,10.455882352941176,14,38.642857142857146,75.0,22.0,4,10,True,False,False
379,49,37,83,71,7.73469387755102,17,72.39470588235294,100.0,59.0,17,0,True,False,False
478,62,56,257,73,7.709677419354839,18,85.29333333333334,100.0,71.0,18,0,False,False,False
171,22,24,12,4,7.772727272727272,17,86.41652941176471,100.0,64.0,16,1,False,False,False
382,49,30,148,43,7.795918367346939,18,69.61611111111111,100.0,40.0,13,5,True,False,False
455,69,27,180,125,6.594202898550725,18,85.18388888888889,100.0,65.0,17,1,True,False,False
135,22,15,72,40,6.136363636363637,16,42.065625,80.0,33.0,8,8,True,False,False
417,35,26,164,46,11.914285714285716,17,54.108823529411765,90.0,51.0,11,6,True,False,False
230,44,23,71,45,5.2272727272727275,14,62.43857142857143,85.0,30.0,12,2,True,False,False
237,30,37,175,32,7.9,17,69.94235294117647,100.0,38.0,12,5,False,False,False
91,20,14,38,25,4.55,16,51.55,80.0,30.0,10,6,False,False,False
176,38,16,78,22,4.631578947368421,9,54.73888888888889,100.0,47.0,6,3,True,False,False
657,66,29,253,82,9.954545454545457,18,87.83833333333332,100.0,73.0,18,0,True,False,False
16,7,4,15,8,2.2857142857142856,5,0.0,0.0,0.0,0,5,True,False,False
333,56,21,151,116,5.946428571428571,18,78.53666666666668,100.0,67.0,18,0,True,False,False
284,62,20,165,64,4.580645161290323,11,11.854545454545455,38.0,9.0,0,11,False,False,False
330,53,26,156,115,6.226415094339623,18,74.5886111111111,100.0,43.0,15,3,True,False,False
141,28,19,20,16,5.035714285714286,17,76.79705882352941,100.0,50.0,14,3,False,False,False
221,28,16,77,28,7.892857142857143,11,48.96454545454546,85.0,19.0,6,5,True,False,False
417,49,36,77,31,8.510204081632653,17,70.88823529411764,100.0,60.0,15,2,True,False,False
165,29,22,66,9,5.689655172413793,18,65.30833333333334,100.0,50.0,12,6,True,False,False
158,23,15,87,24,6.869565217391305,14,52.29571428571428,95.0,32.0,6,8,True,False,False
445,66,27,247,87,6.742424242424242,17,67.98588235294118,100.0,39.0,14,3,True,False,False
408,50,34,165,38,8.16,18,77.69777777777777,95.0,58.0,17,1,True,False,False
252,39,35,169,48,6.461538461538462,12,46.3,100.0,11.0,5,7,False,False,False
535,71,33,216,111,7.535211267605634,18,91.25722222222224,100.0,83.0,18,0,True,False,False
327,60,18,149,59,5.45,18,71.79305555555555,95.0,54.0,16,2,True,False,False
265,40,22,79,64,6.625,18,66.99611111111112,90.0,46.0,14,4,True,False,False
121,15,11,53,24,8.066666666666666,11,7.881818181818182,25.0,2.0,0,11,True,False,False
311,51,28,149,41,6.098039215686274,18,81.98555555555555,100.0,72.0,18,0,True,False,False
1292,123,34,121,405,10.504065040650406,18,51.72638888888889,80.0,46.0,9,9,True,False,False
365,47,23,125,25,7.76595744680851,18,69.59533333333333,100.0,75.0,15,3,False,False,False
488,51,41,75,94,9.568627450980392,13,68.11153846153846,100.0,40.0,9,4,True,False,False
94,25,14,25,20,3.76,17,85.53735294117647,100.0,69.0,15,2,True,False,False
157,35,15,39,54,4.485714285714286,15,68.89266666666667,100.0,44.0,12,3,True,False,False
338,51,34,46,17,6.627450980392157,18,77.09722222222223,100.0,48.0,15,3,True,False,False
748,69,41,322,144,10.840579710144928,16,66.93375,100.0,41.0,10,6,True,False,False
455,47,27,73,70,9.680851063829786,17,70.25,100.0,58.0,16,1,True,False,False
803,74,32,219,117,10.85135135135135,18,75.65861111111111,100.0,64.0,16,2,False,False,False
12,7,2,7,7,1.7142857142857142,6,3.733333333333333,20.0,0.0,0,6,False,False,False
501,38,26,232,64,13.18421052631579,10,34.7025,90.0,13.0,3,7,True,False,False
111,26,18,40,35,4.269230769230769,12,34.975,95.0,17.0,4,8,True,False,False
678,69,46,174,108,9.826086956521738,17,64.7764705882353,100.0,53.0,15,2,True,False,False
211,50,37,41,40,4.22,18,79.803,100.0,70.0,18,0,False,True,False
169,28,19,91,35,6.035714285714286,14,35.50714285714286,85.0,23.0,6,8,True,False,False
374,51,28,119,53,7.333333333333333,17,53.661235294117645,100.0,48.0,8,9,True,False,False
599,89,29,211,134,6.730337078651686,18,78.83722222222222,95.0,72.0,18,0,True,False,False
244,31,34,137,72,7.870967741935484,14,37.971428571428575,86.0,0.0,4,10,True,False,False
38,9,10,5,12,4.222222222222222,7,24.428571428571427,80.0,3.0,2,5,True,False,False
347,53,31,118,41,6.547169811320755,17,72.0764705882353,100.0,46.0,13,4,True,False,False
307,28,42,114,29,10.964285714285714,18,70.34277777777778,100.0,37.0,15,3,False,False,False
333,32,25,260,79,10.40625,17,57.90294117647059,85.0,57.0,15,2,True,False,False
