student_key,course_key,snapshot_date,academic_period_key,total_events,active_days,unique_materials,after_hours_events,weekend_events,avg_events_per_active_day,events_per_week,weekend_ratio,after_hours_ratio,lecture_material_views,assignment_views,course_page_views,forum_views,quiz_views,top_material_type,no_activity_flag,risk_label
2,1,2026-07-07,2,549,53,38,256,114,10.358490566037736,72.50943396226415,0.20765027322404372,0.4663023679417122,145,184,192,15,0,Course Page,0,1
4,1,2026-07-07,2,183,33,21,72,20,5.545454545454546,38.81818181818182,0.1092896174863388,0.39344262295081966,54,45,68,6,0,Course Page,0,1
5,1,2026-07-07,2,356,55,25,169,50,6.472727272727273,45.30909090909091,0.1404494382022472,0.4747191011235955,61,130,165,0,0,Course Page,0,0
7,1,2026-07-07,2,1292,123,34,121,405,10.504065040650406,73.52845528455283,0.31346749226006193,0.0936532507739938,379,194,695,16,0,Course Page,0,1
8,1,2026-07-07,2,301,48,19,244,87,6.270833333333333,43.895833333333336,0.28903654485049834,0.8106312292358804,63,72,151,0,0,Course Page,0,1
9,1,2026-07-07,2,365,47,22,125,25,7.76595744680851,54.361702127659576,0.0684931506849315,0.3424657534246575,58,160,144,1,0,Assignment,0,0
10,1,2026-07-07,2,158,23,14,87,24,6.869565217391305,48.08695652173913,0.1518987341772152,0.5506329113924051,14,48,90,3,0,Course Page,0,1
11,1,2026-07-07,2,229,35,17,92,55,6.542857142857143,45.8,0.24017467248908297,0.4017467248908297,9,68,146,2,0,Course Page,0,1
12,1,2026-07-07,2,1221,84,41,307,252,14.535714285714286,101.75,0.20638820638820637,0.25143325143325146,260,268,630,30,0,Course Page,0,0
13,1,2026-07-07,2,187,38,21,80,27,4.921052631578948,34.44736842105263,0.1443850267379679,0.42780748663101603,37,41,67,36,0,Course Page,0,0
14,1,2026-07-07,2,141,28,18,20,16,5.035714285714286,35.25,0.11347517730496454,0.14184397163120568,34,39,39,27,0,Assignment,0,0
15,1,2026-07-07,2,1194,97,48,851,231,12.309278350515465,86.16494845360825,0.1934673366834171,0.7127303182579564,41,658,477,12,0,Assignment,0,0
16,1,2026-07-07,2,733,68,26,439,250,10.779411764705882,75.45588235294119,0.34106412005457026,0.5989085948158254,200,137,384,1,0,Course Page,0,0
17,1,2026-07-07,2,43,8,9,15,13,5.375,37.625,0.3023255813953488,0.3488372093023256,7,17,19,0,0,Course Page,0,1
18,1,2026-07-07,2,49,5,9,2,48,9.8,68.6,0.9795918367346939,0.04081632653061224,0,8,41,0,0,Course Page,0,1
19,1,2026-07-07,2,535,71,32,216,111,7.535211267605634,52.74647887323944,0.20747663551401868,0.40373831775700936,169,76,247,20,0,Course Page,0,0
20,1,2026-07-07,2,161,22,32,67,57,7.318181818181818,51.22727272727273,0.35403726708074534,0.4161490683229814,50,40,55,1,0,Course Page,0,1
21,1,2026-07-07,2,268,41,39,101,55,6.536585365853658,45.75609756097561,0.20522388059701493,0.376865671641791,72,87,85,9,0,Assignment,0,0
