student_key,course_key,total_events,active_days,unique_materials,after_hours_events,weekend_events,top_material_type,lecture_material_views,assignment_views,course_page_views,forum_views,quiz_views,avg_events_per_active_day,events_per_week,weekend_ratio,after_hours_ratio,assessments_attempted,avg_score_so_far,max_score_so_far,min_score_so_far,final_mark,pass_assessment_count,latest_assessment_score,fail_assessment_count,early_exercise_avg,late_exercise_avg,assignment_avg_score,score_trend,grade_code_mode,snapshot_date
1,1,1086,97,27,291,126,Assignment,5,939,142,0,0,11.195876288659793,78.37113402061856,0.11602209944751381,0.26795580110497236,0.0,0.0,0.0,0.0,0.0,0,0.0,0,0.0,0.0,0.0,0.0,No Result,2026-06-23
2,1,549,53,39,256,114,Course Page,147,184,192,15,0,10.358490566037736,72.50943396226415,0.20765027322404372,0.4663023679417122,15.0,70.53999999999999,100.0,0.0,41.0,10,44.8,5,95.0,72.0,34.9,-23.0,SA,2026-06-23
3,1,236,30,20,91,33,Course Page,50,92,93,1,0,7.866666666666666,55.06666666666667,0.13983050847457626,0.3855932203389831,12.0,58.083333333333336,100.0,0.0,0.0,9,0.0,3,66.0,63.333333333333336,41.666666666666664,-2.6666666666666643,DX,2026-06-23
4,1,183,33,22,72,20,Course Page,59,45,68,6,0,5.545454545454546,38.81818181818182,0.1092896174863388,0.39344262295081966,15.0,83.28666666666666,100.0,60.0,49.0,15,61.9,0,79.0,98.0,68.95,19.0,S,2026-06-23
5,1,356,55,25,169,50,Course Page,61,130,165,0,0,6.472727272727273,45.30909090909091,0.1404494382022472,0.4747191011235955,15.0,86.00666666666666,100.0,10.0,86.0,14,93.05,1,71.0,97.0,91.525,26.0,HD,2026-06-23
6,1,852,92,60,469,168,Course Page,73,300,428,10,0,9.26086956521739,64.82608695652173,0.19718309859154928,0.5504694835680751,15.0,81.62666666666668,100.0,54.0,0.0,15,60.45,0,87.0,94.0,57.225,7.0,DX,2026-06-23
7,1,1292,123,34,121,405,Course Page,379,194,695,16,0,10.504065040650406,73.52845528455283,0.31346749226006193,0.0936532507739938,15.0,53.53333333333333,80.0,31.0,46.0,9,68.0,6,51.0,59.0,49.5,8.0,S,2026-06-23
8,1,301,48,20,244,87,Course Page,74,72,151,0,0,6.270833333333333,43.895833333333336,0.28903654485049834,0.8106312292358804,15.0,57.940000000000005,94.0,0.0,46.0,11,71.05,4,46.0,52.0,82.525,6.0,S,2026-06-23
9,1,365,47,23,125,25,Assignment,60,160,144,1,0,7.76595744680851,54.361702127659576,0.0684931506849315,0.3424657534246575,15.0,67.83733333333333,100.0,0.0,75.0,12,52.28,3,94.0,40.0,70.14,-54.0,D,2026-06-23
10,1,158,23,15,87,24,Course Page,15,48,90,3,0,6.869565217391305,48.08695652173913,0.1518987341772152,0.5506329113924051,11.0,60.08181818181818,95.0,10.0,32.0,6,84.7,5,56.25,70.0,64.85,13.75,N,2026-06-23
