avg_score_so_far,max_score_so_far,min_score_so_far,pass_assessment_count,latest_assessment_score,fail_assessment_count,early_exercise_avg,late_exercise_avg,assignment_avg_score,score_trend
70.47,100.0,38.0,9,89.35,1,70.0,100.0,71.675,30.0
10.375,25.0,0.0,0,0.0,8,16.666666666666668,20.0,2.0,3.333333333333332
91.53333333333332,100.0,75.0,15,94.0,0,96.0,86.0,93.0,-10.0
53.4,100.0,0.0,5,0.0,5,80.0,75.0,9.333333333333334,-5.0
75.48666666666666,100.0,30.0,12,41.65,3,72.0,90.0,60.325,18.0
68.35714285714286,100.0,30.0,13,77.0,1,70.0,65.0,71.5,-5.0
45.13636363636363,75.0,0.0,4,44.0,7,48.75,20.0,59.5,-28.75
65.48333333333333,90.0,25.0,10,65.65,2,76.0,57.5,60.325,-18.5
81.77333333333333,100.0,65.0,15,79.3,0,86.0,78.0,81.15,-8.0
93.65333333333334,100.0,70.0,15,93.15,0,90.0,97.0,94.075,7.0
74.21333333333334,100.0,30.0,14,72.35,1,66.0,77.0,81.675,11.0
73.15714285714286,83.85,65.0,14,83.85,0,75.0,71.0,75.925,-4.0
71.59466666666667,100.0,47.21,13,47.21,2,74.0,75.0,63.605,1.0
92.64,100.0,78.73,14,78.73,0,100.0,96.25,80.86500000000001,-3.75
80.2,100.0,60.0,15,86.0,0,83.0,81.0,75.25,-2.0
0.0,0.0,0.0,0,0.0,5,0.0,0.0,0.0,0.0
58.875,100.0,0.0,5,0.0,3,77.5,0.0,43.333333333333336,0.0
78.85,100.0,43.5,9,72.5,1,78.33333333333333,100.0,77.5,21.66666666666667
67.25333333333333,92.0,35.0,12,79.65,3,62.0,59.0,85.825,-3.0
0.0,0.0,0.0,0,0.0,6,0.0,0.0,0.0,0.0
88.39666666666668,100.0,60.0,15,91.3,0,78.0,100.0,86.7375,22.0
87.73571428571428,100.0,50.0,14,97.9,0,89.0,82.5,93.95,-6.5
5.5,20.0,0.0,0,0.0,4,20.0,0.0,0.0,0.0
19.15,80.0,0.0,2,0.0,8,29.0,0.0,10.666666666666666,-29.0
76.96153846153847,100.0,20.0,11,83.0,2,81.0,73.33333333333333,78.25,-7.666666666666671
31.466666666666665,75.0,0.0,5,62.0,10,17.0,19.0,68.5,2.0
68.83333333333333,100.0,0.0,12,20.25,3,86.0,66.0,49.125,-20.0
51.275,100.0,0.0,5,73.1,3,40.0,0.0,69.55,0.0
74.99230769230769,100.0,30.0,10,76.45,3,67.5,97.5,62.225,30.0
77.27142857142857,95.0,55.0,14,81.4,0,79.0,73.75,80.7,-5.25
55.67777777777778,85.0,29.0,6,36.05,3,78.33333333333333,55.0,45.525,-23.33333333333333
23.375,85.0,0.0,1,0.0,3,85.0,0.0,0.0,0.0
84.86,100.0,50.0,15,84.95,0,74.0,92.0,89.975,18.0
48.73,80.0,10.0,7,65.65,3,40.0,50.0,61.325,10.0
79.43333333333334,100.0,40.0,14,87.0,1,86.0,79.0,71.0,-7.0
89.08666666666666,100.0,65.0,15,79.15,0,88.0,92.0,86.575,4.0
60.08181818181818,95.0,10.0,6,84.7,5,56.25,70.0,64.85,13.75
60.07142857142857,75.0,14.5,6,55.5,1,72.5,0.0,65.25,0.0
81.69999999999999,100.0,63.3,13,63.3,0,99.0,76.66666666666667,66.15,-22.33333333333333
5.5,20.0,0.0,0,0.0,4,20.0,0.0,0.0,0.0
75.61428571428571,100.0,56.05,14,56.05,0,83.0,85.0,57.025,2.0
83.28666666666666,100.0,60.0,15,61.9,0,79.0,98.0,68.95,19.0
89.96666666666667,100.0,40.0,13,93.0,2,97.0,100.0,66.5,3.0
0.0,0.0,0.0,0,0.0,7,0.0,0.0,0.0,0.0
74.58,95.0,50.0,15,88.35,0,79.0,69.0,76.175,-10.0
84.34615384615384,100.0,60.0,13,60.0,0,91.0,93.33333333333331,72.0,2.3333333333333286
54.642857142857146,80.0,0.0,10,66.0,4,55.0,42.0,73.0,-13.0
51.2,70.0,27.0,6,58.5,4,56.666666666666664,50.0,53.75,-6.666666666666664
14.0,38.0,0.0,0,38.0,8,0.0,0.0,28.0,0.0
48.625,80.0,18.5,5,31.75,3,65.0,55.0,46.375,-10.0
50.48333333333333,78.0,0.0,4,73.45,2,0.0,0.0,75.725,0.0
0.0,0.0,0.0,0,0.0,6,0.0,0.0,0.0,0.0
53.53333333333333,80.0,31.0,9,68.0,6,51.0,59.0,49.5,8.0
83.24666666666667,95.0,58.0,15,88.4,0,83.8,90.0,73.2,6.200000000000003
65.63333333333334,100.0,0.0,12,54.0,3,72.0,55.0,71.5,-17.0
87.92857142857143,100.0,62.75,14,62.75,0,99.0,97.5,64.375,-1.5
45.142857142857146,90.0,0.0,3,0.0,4,55.0,30.0,54.0,-25.0
29.791666666666668,80.0,0.0,5,0.0,7,49.0,40.0,0.0,-9.0
78.47857142857143,100.0,37.0,12,50.35,2,96.0,90.0,43.675,-6.0
88.74666666666667,100.0,70.0,15,81.1,0,92.0,94.0,77.05,2.0
62.5,95.0,0.0,7,87.0,3,60.0,72.5,58.0,12.5
91.0,100.0,60.0,15,80.0,0,98.0,88.0,85.5,-10.0
67.86666666666666,85.0,51.0,12,68.7,0,66.25,81.66666666666667,63.35,15.416666666666671
77.36,100.0,46.2,13,46.2,2,81.0,83.0,64.6,2.0
72.25733333333332,100.0,25.0,12,51.43,3,86.0,56.0,75.715,-30.0
26.375,55.0,0.0,4,53.75,8,17.5,6.666666666666667,54.375,-10.833333333333332
88.57857142857142,100.0,64.0,14,83.05,0,100.0,92.0,73.525,-8.0
59.17857142857143,100.0,0.0,9,56.0,5,55.0,75.0,49.0,20.0
53.875,100.0,20.0,4,65.0,4,100.0,20.0,47.25,-80.0
78.88000000000001,100.0,50.35,15,50.35,0,89.0,88.0,52.425,-1.0
12.5,50.0,0.0,2,0.0,6,0.0,0.0,25.0,0.0
57.03333333333333,100.0,19.7,7,19.7,5,72.0,50.0,44.6,-22.0
87.90666666666667,100.0,79.0,15,82.55,0,92.0,89.0,80.775,-3.0
57.333333333333336,100.0,10.0,5,62.0,1,100.0,0.0,58.5,0.0
35.906666666666666,75.0,10.0,4,48.8,11,15.0,55.0,38.4,40.0
75.97333333333333,100.0,40.0,14,96.3,1,80.0,62.0,89.65,-18.0
58.464285714285715,85.0,0.0,12,76.0,2,70.0,38.75,65.75,-31.25
69.7,100.0,10.0,11,77.5,4,80.0,67.0,59.25,-13.0
90.15333333333334,100.0,65.8,15,65.8,0,97.4,90.0,80.4,-7.400000000000006
62.392857142857146,100.0,19.0,12,19.0,2,75.0,72.5,35.5,-2.5
48.75714285714286,100.0,0.0,8,32.8,6,46.0,60.0,41.4,14.0
98.49333333333334,100.0,88.7,15,88.7,0,100.0,100.0,94.35,0.0
96.584,100.0,88.13,15,88.13,0,98.0,97.0,94.065,-1.0
77.07142857142857,100.0,0.0,12,0.0,2,88.0,78.0,55.333333333333336,-10.0
76.825,100.0,55.5,12,55.7,0,88.33333333333333,72.5,77.85,-15.833333333333329
68.36,100.0,1.2,11,1.2,4,82.0,88.0,22.6,6.0
51.684615384615384,80.0,30.0,6,46.45,7,60.0,50.0,44.225,-10.0
35.857142857142854,100.0,0.0,3,0.0,4,73.33333333333333,0.0,3.0,0.0
87.22666666666667,100.0,67.7,15,67.7,0,96.0,86.0,76.85,-10.0
38.9,60.0,0.0,5,46.0,5,40.0,55.0,30.666666666666668,15.0
86.00666666666666,100.0,10.0,14,93.05,1,71.0,97.0,91.525,26.0
90.91333333333334,100.0,80.0,15,84.15,0,91.8,91.0,89.575,-0.7999999999999972
73.39285714285714,100.0,40.0,11,41.0,3,70.0,93.75,57.5,23.75
82.27857142857144,100.0,45.0,13,85.95,1,85.0,88.0,73.475,3.0
53.785714285714285,90.0,17.0,8,17.0,6,75.0,56.25,23.25,-18.75
90.15,100.0,49.0,12,95.3,2,97.0,100.0,72.15,3.0
82.82142857142857,100.0,0.0,13,0.0,1,90.0,91.0,54.666666666666664,1.0
63.333333333333336,100.0,29.0,8,64.5,1,65.0,80.0,62.75,15.0
34.5,90.0,0.0,2,0.0,4,75.0,0.0,14.0,0.0
