student_key,course_key,academic_period_key,snapshot_date
77,1,1,2026-06-29
102,1,1,2026-06-29
104,1,1,2026-06-29
73,1,1,2026-06-29
68,1,1,2026-06-29
107,1,1,2026-06-29
55,1,1,2026-06-29
105,1,1,2026-06-29
80,1,1,2026-06-29
19,1,1,2026-06-29
66,1,1,2026-06-29
136,1,1,2026-06-29
69,1,1,2026-06-29
122,1,1,2026-06-29
114,1,1,2026-06-29
167,1,1,2026-06-29
145,1,1,2026-06-29
92,1,1,2026-06-29
38,1,1,2026-06-29
155,1,1,2026-06-29
33,1,1,2026-06-29
51,1,1,2026-06-29
166,1,1,2026-06-29
157,1,1,2026-06-29
34,1,1,2026-06-29
113,1,1,2026-06-29
16,1,1,2026-06-29
98,1,1,2026-06-29
54,1,1,2026-06-29
37,1,1,2026-06-29
59,1,1,2026-06-29
168,1,1,2026-06-29
91,1,1,2026-06-29
64,1,1,2026-06-29
12,1,1,2026-06-29
45,1,1,2026-06-29
10,1,1,2026-06-29
146,1,1,2026-06-29
111,1,1,2026-06-29
140,1,1,2026-06-29
29,1,1,2026-06-29
4,1,1,2026-06-29
103,1,1,2026-06-29
171,1,1,2026-06-29
62,1,1,2026-06-29
42,1,1,2026-06-29
71,1,1,2026-06-29
110,1,1,2026-06-29
89,1,1,2026-06-29
121,1,1,2026-06-29
116,1,1,2026-06-29
18,1,1,2026-06-29
7,1,1,2026-06-29
65,1,1,2026-06-29
126,1,1,2026-06-29
149,1,1,2026-06-29
143,1,1,2026-06-29
162,1,1,2026-06-29
135,1,1,2026-06-29
15,1,1,2026-06-29
144,1,1,2026-06-29
61,1,1,2026-06-29
128,1,1,2026-06-29
25,1,1,2026-06-29
48,1,1,2026-06-29
58,1,1,2026-06-29
120,1,1,2026-06-29
87,1,1,2026-06-29
20,1,1,2026-06-29
137,1,1,2026-06-29
160,1,1,2026-06-29
53,1,1,2026-06-29
90,1,1,2026-06-29
57,1,1,2026-06-29
81,1,1,2026-06-29
72,1,1,2026-06-29
108,1,1,2026-06-29
119,1,1,2026-06-29
31,1,1,2026-06-29
40,1,1,2026-06-29
106,1,1,2026-06-29
13,1,1,2026-06-29
22,1,1,2026-06-29
11,1,1,2026-06-29
97,1,1,2026-06-29
96,1,1,2026-06-29
27,1,1,2026-06-29
17,1,1,2026-06-29
67,1,1,2026-06-29
41,1,1,2026-06-29
5,1,1,2026-06-29
60,1,1,2026-06-29
75,1,1,2026-06-29
43,1,1,2026-06-29
94,1,1,2026-06-29
150,1,1,2026-06-29
14,1,1,2026-06-29
49,1,1,2026-06-29
159,1,1,2026-06-29
