student_key,course_key,total_events,active_days,unique_materials,after_hours_events,weekend_events,top_material_type,lecture_material_views,assignment_views,course_page_views,forum_views,quiz_views,avg_events_per_active_day,events_per_week,weekend_ratio,after_hours_ratio,snapshot_date,risk_label,ass_1_with_penalty_100,ass_2_100,ass_2_with_penalty_100,ass_ex_1,ass_ex_10,ass_ex_2,ass_ex_3,ass_ex_4,ass_ex_5,ass_ex_6,ass_ex_7,ass_ex_8,ass_ex_9,assignment_1_100,exam_100,rounded_total_100,total_100,weekly_lab_quizzes_100
2,1,549,53,39,256,114,Course Page,147,184,192,15,0,10.358490566037736,72.50943396226415,0.20765027322404372,0.4663023679417122,2026-06-23,1,25.0,44.8,44.8,100.0,0.0,100.0,75.0,100.0,100.0,90.0,90.0,80.0,100.0,25.0,26.5,41.0,41.41,83.5
4,1,183,33,22,72,20,Course Page,59,45,68,6,0,5.545454545454546,38.81818181818182,0.1092896174863388,0.39344262295081966,2026-06-23,1,76.0,61.9,61.9,90.0,100.0,60.0,70.0,100.0,75.0,90.0,100.0,100.0,100.0,76.0,22.75,49.0,49.055,88.5
5,1,356,55,25,169,50,Course Page,61,130,165,0,0,6.472727272727273,45.30909090909091,0.1404494382022472,0.4747191011235955,2026-06-23,0,90.0,93.05,93.05,70.0,100.0,100.0,10.0,75.0,100.0,95.0,90.0,100.0,100.0,90.0,83.0,86.0,85.91,84.0
7,1,1292,123,34,121,405,Course Page,379,194,695,16,0,10.504065040650406,73.52845528455283,0.31346749226006193,0.0936532507739938,2026-06-23,1,31.0,68.0,68.0,60.0,65.0,40.0,45.0,35.0,75.0,55.0,80.0,50.0,45.0,31.0,36.25,46.0,45.825,55.0
8,1,301,48,20,244,87,Course Page,74,72,151,0,0,6.270833333333333,43.895833333333336,0.28903654485049834,0.8106312292358804,2026-06-23,1,94.0,71.05,71.05,25.0,0.0,70.0,0.0,65.0,70.0,60.0,65.0,65.0,70.0,94.0,25.0,46.0,45.91,49.0
9,1,365,47,23,125,25,Assignment,60,160,144,1,0,7.76595744680851,54.361702127659576,0.0684931506849315,0.3424657534246575,2026-06-23,0,88.0,52.28,52.28,90.0,40.0,95.0,100.0,100.0,85.0,80.0,80.0,0.0,0.0,88.0,85.0,75.0,75.156,67.0
10,1,158,23,15,87,24,Course Page,15,48,90,3,0,6.869565217391305,48.08695652173913,0.1518987341772152,0.5506329113924051,2026-06-23,1,45.0,84.7,84.7,30.0,80.0,0.0,90.0,10.0,95.0,0.0,0.0,60.0,0.0,45.0,7.0,32.0,32.24,36.5
11,1,229,35,18,92,55,Course Page,12,68,146,2,0,6.542857142857143,45.8,0.24017467248908297,0.4017467248908297,2026-06-23,1,83.0,0.0,0.0,70.0,100.0,100.0,90.0,80.0,100.0,100.0,70.0,100.0,20.0,83.0,16.5,33.0,33.15,83.0
12,1,1221,84,42,307,252,Course Page,264,268,630,30,0,14.535714285714286,101.75,0.20638820638820637,0.25143325143325146,2026-06-23,0,55.0,87.0,87.0,100.0,85.0,100.0,90.0,40.0,100.0,50.0,100.0,80.0,80.0,55.0,71.0,75.0,74.9,82.5
13,1,187,38,22,80,27,Course Page,39,41,67,36,0,4.921052631578948,34.44736842105263,0.1443850267379679,0.42780748663101603,2026-06-23,0,100.0,88.7,88.7,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,56.5,76.0,75.99,100.0
14,1,141,28,19,20,16,Assignment,35,39,39,27,0,5.035714285714286,35.25,0.11347517730496454,0.14184397163120568,2026-06-23,0,82.0,0.0,0.0,80.0,85.0,100.0,90.0,90.0,90.0,100.0,95.0,80.0,95.0,82.0,46.5,50.0,49.55,90.5
15,1,1194,97,48,851,231,Assignment,41,658,477,12,0,12.309278350515465,86.16494845360825,0.1934673366834171,0.7127303182579564,2026-06-23,0,73.0,81.1,81.1,85.0,100.0,80.0,100.0,95.0,100.0,100.0,70.0,100.0,100.0,73.0,33.0,59.0,58.62,93.0
16,1,733,68,27,439,250,Course Page,201,137,384,1,0,10.779411764705882,75.45588235294119,0.34106412005457026,0.5989085948158254,2026-06-23,0,78.0,20.25,20.25,90.0,0.0,95.0,75.0,70.0,100.0,100.0,100.0,80.0,50.0,78.0,48.0,51.0,51.05,76.0
17,1,43,8,9,15,13,Course Page,7,17,19,0,0,5.375,37.625,0.3023255813953488,0.3488372093023256,2026-06-23,1,4.5,0.0,0.0,70.0,0.0,50.0,100.0,0.0,0.0,0.0,0.0,0.0,0.0,4.5,0.5,5.0,5.1,22.0
18,1,49,5,9,2,48,Course Page,0,8,41,0,0,9.8,68.6,0.9795918367346939,0.04081632653061224,2026-06-23,1,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
19,1,535,71,33,216,111,Course Page,185,76,247,20,0,7.535211267605634,52.74647887323944,0.20747663551401868,0.40373831775700936,2026-06-23,0,95.0,93.15,93.15,80.0,100.0,100.0,100.0,100.0,70.0,90.0,95.0,100.0,100.0,95.0,72.0,83.0,82.83,93.5
20,1,161,22,32,67,57,Course Page,50,40,55,1,0,7.318181818181818,51.22727272727273,0.35403726708074534,0.4161490683229814,2026-06-23,1,29.5,65.0,65.0,100.0,0.0,100.0,0.0,0.0,0.0,20.0,0.0,0.0,0.0,29.5,26.5,34.0,33.6,22.0
21,1,268,41,40,101,55,Assignment,77,87,85,9,0,6.536585365853658,45.75609756097561,0.20522388059701493,0.376865671641791,2026-06-23,0,63.5,62.3,62.3,100.0,0.0,0.0,0.0,95.0,0.0,0.0,70.0,0.0,0.0,63.5,52.0,50.0,50.11,26.5
22,1,1203,111,36,221,239,Course Page,127,292,765,7,0,10.837837837837839,75.86486486486486,0.19866999168744803,0.18370739817123857,2026-06-23,0,100.0,88.13,88.13,100.0,95.0,100.0,100.0,100.0,90.0,100.0,100.0,100.0,90.0,100.0,71.5,83.0,82.876,97.5
23,1,402,58,26,119,59,Lecture Material,174,50,165,11,0,6.931034482758621,48.51724137931034,0.14676616915422885,0.2960199004975124,2026-06-23,0,55.5,74.0,74.0,90.0,90.0,100.0,100.0,100.0,80.0,90.0,90.0,90.0,95.0,55.5,88.0,83.0,82.85,92.5
